code,code1,code2,code3,label,slug
H2907,H,29,07,Conduite d'installation de production des métaux,conduite-d-installation-de-production-des-metaux
H2908,H,29,08,Modelage de matériaux non métalliques,modelage-de-materiaux-non-metalliques
H2909,H,29,09,Montage-assemblage mécanique,montage-assemblage-mecanique
H2910,H,29,10,Moulage sable,moulage-sable
H2911,H,29,11,Réalisation de structures métalliques,realisation-de-structures-metalliques
H2912,H,29,12,Réglage d'équipement de production industrielle,reglage-d-equipement-de-production-industrielle
H2913,H,29,13,Soudage manuel,soudage-manuel
H2914,H,29,14,Réalisation et montage en tuyauterie,realisation-et-montage-en-tuyauterie
H3101,H,31,01,Conduite d'équipement de fabrication de papier ou de carton,conduite-d-equipement-de-fabrication-de-papier-ou-de-carton
H3102,H,31,02,Conduite d'installation de pâte à papier,conduite-d-installation-de-pate-a-papier
H3201,H,32,01,Conduite d'équipement de formage des plastiques et caoutchoucs,conduite-d-equipement-de-formage-des-plastiques-et-caoutchoucs
H3202,H,32,02,Réglage d'équipement de formage des plastiques et caoutchoucs,reglage-d-equipement-de-formage-des-plastiques-et-caoutchoucs
H3203,H,32,03,Fabrication de pièces en matériaux composites,fabrication-de-pieces-en-materiaux-composites
H3301,H,33,01,Conduite d'équipement de conditionnement,conduite-d-equipement-de-conditionnement
H3302,H,33,02,"Opérations manuelles d'assemblage, tri ou emballage",operations-manuelles-d-assemblage-tri-ou-emballage
H3303,H,33,03,"Préparation de matières et produits industriels (broyage, mélange, ...)",preparation-de-matieres-et-produits-industriels-broyage-melange
H3401,H,34,01,Conduite de traitement d'abrasion de surface,conduite-de-traitement-d-abrasion-de-surface
H3402,H,34,02,Conduite de traitement par dépôt de surface,conduite-de-traitement-par-depot-de-surface
H3403,H,34,03,Conduite de traitement thermique,conduite-de-traitement-thermique
H3404,H,34,04,Peinture industrielle,peinture-industrielle
I1101,I,11,01,Direction et ingénierie en entretien infrastructure et bâti,direction-et-ingenierie-en-entretien-infrastructure-et-bati
I1102,I,11,02,Management et ingénierie de maintenance industrielle,management-et-ingenierie-de-maintenance-industrielle
I1103,I,11,03,Supervision d'entretien et gestion de véhicules,supervision-d-entretien-et-gestion-de-vehicules
I1201,I,12,01,Entretien d'affichage et mobilier urbain,entretien-d-affichage-et-mobilier-urbain
I1202,I,12,02,Entretien et surveillance du tracé routier,entretien-et-surveillance-du-trace-routier
I1203,I,12,03,Maintenance des bâtiments et des locaux,maintenance-des-batiments-et-des-locaux
I1301,I,13,01,Installation et maintenance d'ascenseurs,installation-et-maintenance-d-ascenseurs
I1302,I,13,02,Installation et maintenance d'automatismes,installation-et-maintenance-d-automatismes
I1303,I,13,03,Installation et maintenance de distributeurs automatiques,installation-et-maintenance-de-distributeurs-automatiques
I1304,I,13,04,Installation et maintenance d'équipements industriels et d'exploitation,installation-et-maintenance-d-equipements-industriels-et-d-exploitation
I1305,I,13,05,Installation et maintenance électronique,installation-et-maintenance-electronique
I1306,I,13,06,"Installation et maintenance en froid, conditionnement d'air",installation-et-maintenance-en-froid-conditionnement-d-air
I1307,I,13,07,Installation et maintenance télécoms et courants faibles,installation-et-maintenance-telecoms-et-courants-faibles
I1308,I,13,08,Maintenance d'installation de chauffage,maintenance-d-installation-de-chauffage
I1309,I,13,09,Maintenance électrique,maintenance-electrique
I1310,I,13,10,Maintenance mécanique industrielle,maintenance-mecanique-industrielle
I1401,I,14,01,Maintenance informatique et bureautique,maintenance-informatique-et-bureautique
I1402,I,14,02,Réparation de biens électrodomestiques,reparation-de-biens-electrodomestiques
I1501,I,15,01,Intervention en grande hauteur,intervention-en-grande-hauteur
