ROME|famille|domaine|metier|label|slugs|famille_label|domaine_label
E1302|E|13|02|Conduite de machines de façonnage routage|conduite-de-machines-de-faconnage-routage|COMMUNICATION, MEDIA ET MULTIMEDIA|Industries graphiques
E1303|E|13|03|Encadrement des industries graphiques|encadrement-des-industries-graphiques|COMMUNICATION, MEDIA ET MULTIMEDIA|Industries graphiques
E1304|E|13|04|Façonnage et routage|faconnage-et-routage|COMMUNICATION, MEDIA ET MULTIMEDIA|Industries graphiques
E1305|E|13|05|Préparation et correction en édition et presse|preparation-et-correction-en-edition-et-presse|COMMUNICATION, MEDIA ET MULTIMEDIA|Industries graphiques
E1306|E|13|06|Prépresse|prepresse|COMMUNICATION, MEDIA ET MULTIMEDIA|Industries graphiques
E1307|E|13|07|Reprographie|reprographie|COMMUNICATION, MEDIA ET MULTIMEDIA|Industries graphiques
E1308|E|13|08|Intervention technique en industrie graphique|intervention-technique-en-industrie-graphique|COMMUNICATION, MEDIA ET MULTIMEDIA|Industries graphiques
E1401|E|14|01|Développement et promotion publicitaire|developpement-et-promotion-publicitaire|COMMUNICATION, MEDIA ET MULTIMEDIA|Publicité
E1402|E|14|02|Élaboration de plan média|elaboration-de-plan-media|COMMUNICATION, MEDIA ET MULTIMEDIA|Publicité
F1101|F|11|01|Architecture du BTP|architecture-du-btp|CONSTRUCTION, BÂTIMENT ET TRAVAUX PUBLICS|Conception et études
F1102|F|11|02|Conception - aménagement d'espaces intérieurs|conception-amenagement-d-espaces-interieurs|CONSTRUCTION, BÂTIMENT ET TRAVAUX PUBLICS|Conception et études
F1103|F|11|03|Contrôle et diagnostic technique du bâtiment|controle-et-diagnostic-technique-du-batiment|CONSTRUCTION, BÂTIMENT ET TRAVAUX PUBLICS|Conception et études
F1104|F|11|04|Dessin BTP|dessin-btp|CONSTRUCTION, BÂTIMENT ET TRAVAUX PUBLICS|Conception et études
F1105|F|11|05|Études géologiques|etudes-geologiques|CONSTRUCTION, BÂTIMENT ET TRAVAUX PUBLICS|Conception et études
F1106|F|11|06|Ingénierie et études du BTP|ingenierie-et-etudes-du-btp|CONSTRUCTION, BÂTIMENT ET TRAVAUX PUBLICS|Conception et études
F1107|F|11|07|Mesures topographiques|mesures-topographiques|CONSTRUCTION, BÂTIMENT ET TRAVAUX PUBLICS|Conception et études
F1108|F|11|08|Métré de la construction|metre-de-la-construction|CONSTRUCTION, BÂTIMENT ET TRAVAUX PUBLICS|Conception et études
F1201|F|12|01|Conduite de travaux du BTP|conduite-de-travaux-du-btp|CONSTRUCTION, BÂTIMENT ET TRAVAUX PUBLICS|Conduite et encadrement de chantier - travaux
F1202|F|12|02|Direction de chantier du BTP|direction-de-chantier-du-btp|CONSTRUCTION, BÂTIMENT ET TRAVAUX PUBLICS|Conduite et encadrement de chantier - travaux
F1203|F|12|03|Direction et ingénierie d'exploitation de gisements et de carrières|direction-et-ingenierie-d-exploitation-de-gisements-et-de-carrieres|CONSTRUCTION, BÂTIMENT ET TRAVAUX PUBLICS|Conduite et encadrement de chantier - travaux
F1204|F|12|04|Sécurité et protection santé du BTP|securite-et-protection-sante-du-btp|CONSTRUCTION, BÂTIMENT ET TRAVAUX PUBLICS|Conduite et encadrement de chantier - travaux
F1301|F|13|01|Conduite de grue|conduite-de-grue|CONSTRUCTION, BÂTIMENT ET TRAVAUX PUBLICS|Engins de chantier
F1302|F|13|02|Conduite d'engins de terrassement et de carrière|conduite-d-engins-de-terrassement-et-de-carriere|CONSTRUCTION, BÂTIMENT ET TRAVAUX PUBLICS|Engins de chantier
F1401|F|14|01|Extraction liquide et gazeuse|extraction-liquide-et-gazeuse|CONSTRUCTION, BÂTIMENT ET TRAVAUX PUBLICS|Extraction
F1402|F|14|02|Extraction solide|extraction-solide|CONSTRUCTION, BÂTIMENT ET TRAVAUX PUBLICS|Extraction
F1501|F|15|01|Montage de structures et de charpentes bois|montage-de-structures-et-de-charpentes-bois|CONSTRUCTION, BÂTIMENT ET TRAVAUX PUBLICS|Montage de structures
F1502|F|15|02|Montage de structures métalliques|montage-de-structures-metalliques|CONSTRUCTION, BÂTIMENT ET TRAVAUX PUBLICS|Montage de structures
